slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
85,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19128745.22796163,2404242.0781247118,0.6666666666666667,5000,50,750.0
86,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18184159.334044512,2755832.4812342515,0.6666666666666667,5000,50,750.0
87,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19880305.581285864,2079016.4354810151,0.6666666666666667,5000,50,750.0
88,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21782760.317567367,5802655.744851022,0.6666666666666667,5000,50,750.0
89,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18739367.354880273,2033424.1653060862,0.6666666666666667,5000,50,750.0
90,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17845525.19739394,2696377.5269165025,0.6666666666666667,5000,50,750.0
91,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20766799.92478253,2671003.6991023053,0.6666666666666667,5000,50,750.0
92,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19628547.485068902,2399913.0606451435,0.6666666666666667,5000,50,750.0
93,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18845594.46813491,4055595.3431886784,0.6666666666666667,5000,50,750.0
94,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17995223.812418398,1681442.213794169,0.6666666666666667,5000,50,750.0
95,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19188379.68583066,2880781.0341087454,0.6666666666666667,5000,50,750.0
96,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20555234.11533518,2866099.229189591,0.6666666666666667,5000,50,750.0
97,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21120873.385542423,2671408.554442626,0.6666666666666667,5000,50,750.0
98,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19839694.11972244,3703846.4890000084,0.6666666666666667,5000,50,750.0
99,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19470398.281334043,3603635.7873645225,0.6666666666666667,5000,50,750.0
100,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22286093.83381651,5769793.427499418,0.6666666666666667,5000,50,750.0
101,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18036709.438392986,2818745.593837926,0.6666666666666667,5000,50,750.0
102,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20630693.697616387,4583715.826782442,0.6666666666666667,5000,50,750.0
103,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20189183.063833717,3125967.1141665224,0.6666666666666667,5000,50,750.0
104,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20628982.204168912,4460950.181070915,0.6666666666666667,5000,50,750.0
105,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,16572486.303341465,990448.0706552766,0.6666666666666667,5000,50,750.0
106,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21062853.71239295,2270452.9231325127,0.6666666666666667,5000,50,750.0
107,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21350721.721752107,1295992.842338311,0.6666666666666667,5000,50,750.0
108,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20835693.322769187,2887062.604668376,0.6666666666666667,5000,50,750.0
109,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17765018.40178232,1118470.9902395685,0.6666666666666667,5000,50,750.0
110,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21907887.596776124,4003824.0553462934,0.6666666666666667,5000,50,750.0
111,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19529555.42935084,6849044.215288722,0.6666666666666667,5000,50,750.0
112,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18153355.62527947,1486687.660803796,0.6666666666666667,5000,50,750.0
113,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22679791.603406902,4768104.034133082,0.6666666666666667,5000,50,750.0
114,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21382607.977144767,3732026.370494361,0.6666666666666667,5000,50,750.0
115,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21605804.58020411,2595842.1203192566,0.6666666666666667,5000,50,750.0
116,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,22763474.170512132,4245120.762984687,0.6666666666666667,5000,50,750.0
117,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19103076.708719127,2623702.9378835564,0.6666666666666667,5000,50,750.0
118,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19996472.099266034,2804933.7196197277,0.6666666666666667,5000,50,750.0
119,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20736063.69617358,1303464.2956028488,0.6666666666666667,5000,50,750.0
120,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19626181.054738574,2920924.101545198,0.6666666666666667,5000,50,750.0
121,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17836852.74439023,2602530.6635985333,0.6666666666666667,5000,50,750.0
122,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21810217.08904757,2065977.4640834983,0.6666666666666667,5000,50,750.0
123,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20451406.640991226,5172230.524425691,0.6666666666666667,5000,50,750.0
124,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21395439.989101462,3285237.0130024166,0.6666666666666667,5000,50,750.0
125,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17217238.10652822,1951390.486863686,0.6666666666666667,5000,50,750.0
126,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18591306.420309786,2084863.3009632742,0.6666666666666667,5000,50,750.0
127,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,18097843.583215266,1065742.698004842,0.6666666666666667,5000,50,750.0
128,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19910653.20956956,1254827.3276817375,0.6666666666666667,5000,50,750.0
129,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20959047.13196411,2753776.1738483375,0.6666666666666667,5000,50,750.0
130,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19513731.698751427,2039289.5192466476,0.6666666666666667,5000,50,750.0
131,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19531667.03698209,1675004.1520217238,0.6666666666666667,5000,50,750.0
132,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20940862.71194558,2765965.6687382148,0.6666666666666667,5000,50,750.0
133,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17697742.00289689,1357858.6374223256,0.6666666666666667,5000,50,750.0
134,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21288078.847115923,3742288.131277697,0.6666666666666667,5000,50,750.0
135,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21120227.80356014,873344.5697944909,0.6666666666666667,5000,50,750.0
136,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,23193722.38054156,5750963.69056357,0.6666666666666667,5000,50,750.0
137,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20824366.185743067,3926351.0558727146,0.6666666666666667,5000,50,750.0
138,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,17682598.71568708,2081791.902984105,0.6666666666666667,5000,50,750.0
139,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19077567.094136592,2552401.0380932176,0.6666666666666667,5000,50,750.0
140,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20269755.462229867,725639.5157384595,0.6666666666666667,5000,50,750.0
141,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,15912668.365359725,1315605.0643085134,0.6666666666666667,5000,50,750.0
142,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21050973.243808046,1296151.289994047,0.6666666666666667,5000,50,750.0
143,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19613365.32268385,1855935.1037313237,0.6666666666666667,5000,50,750.0
144,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20383931.334765505,3012219.760627516,0.6666666666666667,5000,50,750.0
145,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21821660.641113464,2874524.564019454,0.6666666666666667,5000,50,750.0
146,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,19446243.763624296,788829.1378767929,0.6666666666666667,5000,50,750.0
147,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,20310103.97029774,4563745.265179164,0.6666666666666667,5000,50,750.0
148,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21043141.899311684,6368031.672919383,0.6666666666666667,5000,50,750.0
149,priority,0.01,750.0,135.40251005511047,-3.3333333333333335,135.40251005511047,0.99,0.0,21093680.526235137,4134293.3534106994,0.6666666666666667,5000,50,750.0
