slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
87,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19798291.56998574,1854068.4847965795,0.3442666666666667,5000,5000,75000.0
88,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20232766.856229857,2203130.6351859933,0.3442666666666667,5000,5000,75000.0
89,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19987711.010069,2065547.8669106055,0.3442666666666667,5000,5000,75000.0
90,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20161501.37483982,1976054.8414644129,0.3442666666666667,5000,5000,75000.0
91,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20144326.993897364,2268880.3241092316,0.3442666666666667,5000,5000,75000.0
92,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19844993.85923533,1879576.5311744246,0.3442666666666667,5000,5000,75000.0
93,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20223168.234657936,1904251.236836247,0.3442666666666667,5000,5000,75000.0
94,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20139025.81820066,2328691.466289917,0.3442666666666667,5000,5000,75000.0
95,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20171311.761266526,2159462.469019338,0.3442666666666667,5000,5000,75000.0
96,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19907491.269089103,1864645.3760802667,0.3442666666666667,5000,5000,75000.0
97,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19926949.71033056,2023422.8276586288,0.3442666666666667,5000,5000,75000.0
98,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20164771.072258703,2100777.576724589,0.3442666666666667,5000,5000,75000.0
